,masterid,mastermag,egfid,egfmag,station_number,fcmaster
0,38443183,6.4,38443535,4.23,31,0.6704525525316077
1,38443183,6.4,38443231,4.13,6,1.5411468672704707
2,38443183,6.4,38443095,3.98,24,0.75099634260327
3,38443183,6.4,37222364,3.97,2,1.0439566139942102
4,38443183,6.4,38443255,3.86,10,1.1721216786524375
5,38443183,6.4,38443223,3.8,3,1.607908900893966
6,38443183,6.4,38443383,3.79,26,0.9220959835660629
7,38443183,6.4,38443543,3.75,3,0.7802529202469737
8,38443183,6.4,38443215,3.69,2,3.52310724958836
9,38443183,6.4,37223308,3.55,16,1.0473231624244421
10,38443183,6.4,37422005,3.53,22,0.9610037756807368
11,38443183,6.4,38443391,3.51,9,0.8321002441591693
12,38443183,6.4,37421925,3.5,2,3.060528175132425
13,38443183,6.4,38443279,3.5,5,2.256411643963552
14,38443183,6.4,38443439,3.5,13,1.6406923885897133
15,38443183,6.4,37223244,3.49,4,0.8727315013119066
16,38443183,6.4,38443287,3.46,12,2.024322497263072
17,38443183,6.4,38443415,3.46,27,1.162920709173606
18,38443183,6.4,38443431,3.44,27,1.639962963957187
19,38443183,6.4,37223156,3.42,12,1.4232580169889342
20,38443183,6.4,37222556,3.4,1,0.7418794205067136
21,38443183,6.4,38443407,3.38,20,1.1737928014307326
22,38443183,6.4,38443487,3.38,27,2.0220640675636457
23,38443183,6.4,38443319,3.33,19,1.9921038285646047
24,38443183,6.4,37421957,3.3,1,3.650112754337818
25,38443183,6.4,38443527,3.29,29,1.3417402225446304
26,38443183,6.4,37420701,3.23,8,1.368090961906058
27,38443183,6.4,37222524,3.21,1,2.6526762063377856
28,38443183,6.4,38443519,3.13,17,1.953317315007178
29,38443183,6.4,38443271,3.07,2,2.6049997753298126
30,38443183,6.4,37421989,3.03,6,2.269819211183142
31,38443183,6.4,37223676,2.98,2,0.7634894546036033
32,38443183,6.4,38443263,2.96,2,1.074608399291216
33,38443183,6.4,38443311,2.95,8,0.771454687251733
34,38443183,6.4,38443463,2.94,16,0.9445992651679938
35,38443183,6.4,38443295,2.92,8,1.3217120724185365
36,38443183,6.4,37223380,2.89,10,1.0634201383622528
37,38443183,6.4,38443471,2.87,10,1.5266929840716492
38,38443183,6.4,38443359,2.85,6,0.5828038031181283
39,38443183,6.4,38443303,2.79,2,0.8954599549500761
40,38443183,6.4,37222932,2.78,4,1.5720202973472106
41,38443183,6.4,37421981,2.77,3,0.8545972340542997
42,38443183,6.4,38443375,2.76,5,1.2240214614128266
43,38443183,6.4,38443447,2.75,12,1.0596756440423787
44,38443183,6.4,37222692,2.73,2,0.6080290816259486
45,38443183,6.4,38443423,2.69,4,1.507496996344541
46,38443183,6.4,38443335,2.67,1,1.3692005029880367
47,38443183,6.4,37223228,2.61,7,1.6136093645624796
48,38443183,6.4,38443495,2.61,15,0.7451745209764005
49,38443183,6.4,37223148,2.59,1,0.5225201155588111
50,38443183,6.4,37222668,2.57,3,2.146117682090282
51,38443183,6.4,37222876,2.57,3,1.0450677254131688
52,38443183,6.4,37223252,2.55,1,0.7770475952400312
53,38443183,6.4,38443327,2.53,10,1.1220119954803847
54,38443183,6.4,38443351,2.53,6,1.1057483361072922
55,38443183,6.4,37222596,2.52,1,0.9534847944959248
56,38443183,6.4,38443111,2.49,17,0.5350944489471471
57,38443183,6.4,37223212,2.48,3,1.4197121529480583
58,38443183,6.4,37223220,2.47,1,1.2991808089429535
59,38443183,6.4,37222964,2.44,3,0.7508602814651898
60,38443183,6.4,37223788,2.44,4,0.6919301112839932
61,38443183,6.4,38443399,2.42,1,1.077581249173155
62,38443183,6.4,37222684,2.37,2,0.8853232414890324
63,38443183,6.4,38443503,2.35,11,1.0139620274482295
64,38443183,6.4,37222924,2.33,1,1.0900278754551032
65,38443183,6.4,37223316,2.32,1,1.3652747382864767
66,38443183,6.4,37224452,2.31,3,1.055633981335424
67,38443183,6.4,37224436,2.27,2,0.8806503329019366
68,38443183,6.4,37222892,2.24,1,0.7967402880754992
69,38443183,6.4,37223332,2.24,4,1.6624907472166646
70,38443183,6.4,38443479,2.21,2,1.3336959977307492
71,38443183,6.4,37223372,2.2,4,1.1806076609847023
72,38443183,6.4,37223964,2.2,2,0.8545406038113756
73,38443183,6.4,37223956,2.16,5,0.9573624146850932
74,38443183,6.4,37224276,2.16,1,0.49706168022914976
75,38443183,6.4,37224364,2.14,4,0.8398075589728704
76,38443183,6.4,38443127,2.13,19,0.658089495724992
77,38443183,6.4,37222956,2.13,1,0.8653145379280913
78,38443183,6.4,38443455,2.13,1,0.6419589802748099
79,38443183,6.4,37223708,2.13,5,1.0164264839229538
80,38443183,6.4,37223196,2.11,1,1.2313210384910835
81,38443183,6.4,37224332,2.11,1,0.8745133229596332
82,38443183,6.4,37224340,2.11,5,0.6889486677210725
83,38443183,6.4,37223700,2.08,1,0.8022167872801087
84,38443183,6.4,37224292,2.08,2,1.3177413160713094
85,38443183,6.4,37223172,2.07,2,0.9144815952685078
86,38443183,6.4,37223348,2.07,1,0.9258750418443691
87,38443183,6.4,37224476,2.04,1,1.0030681525619074
88,38443183,6.4,37224284,2.03,1,1.0004445612919757
89,38443183,6.4,37223636,1.99,1,0.8016644311828064
90,38443183,6.4,37223948,1.99,3,1.0730213631509677
91,38443183,6.4,37224444,1.95,2,0.9178662157605859
92,38443183,6.4,37223972,1.92,1,0.8548867801510759
93,38443183,6.4,37223396,1.9,1,0.8313061704243193
94,38443183,6.4,37224356,1.84,4,0.7778882634962513
95,38443183,6.4,38443135,1.75,1,1.2127551189595895
96,38443183,6.4,38443079,1.5,17,1.4504156019823833
97,38443183,6.4,38443151,1.43,19,1.962919548934549
98,38443535,4.23,37223380,2.89,1,6.8246670201783814
99,38443535,4.23,38443495,2.61,2,6.832338268769904
100,38443535,4.23,37222876,2.57,1,7.046127152192224
101,38443535,4.23,37224452,2.31,1,9.894723026435802
102,38443535,4.23,37222892,2.24,1,6.068722418491618
103,38443535,4.23,37223956,2.16,1,5.497460379373201
104,38443535,4.23,38443127,2.13,1,5.177849561969165
105,38443535,4.23,37224332,2.11,1,9.764304524856565
106,38443535,4.23,37223948,1.99,1,6.090910470634768
107,38443535,4.23,37224444,1.95,1,5.742874049129091
108,38443535,4.23,38443135,1.75,1,6.503532690055537
109,38443535,4.23,38443079,1.5,12,6.333852045926509
110,38443535,4.23,38443151,1.43,3,5.985258377314192
111,38443231,4.13,38443519,3.13,8,5.988788568873857
112,38443231,4.13,37421989,3.03,3,6.041914319691846
113,38443231,4.13,38443311,2.95,3,4.820720628200154
114,38443231,4.13,38443463,2.94,4,4.491359830363652
115,38443231,4.13,38443295,2.92,1,0.368500713368845
116,38443231,4.13,37223380,2.89,5,4.60334244180371
117,38443231,4.13,38443471,2.87,3,2.982853017337863
118,38443231,4.13,38443359,2.85,3,2.927173056083928
119,38443231,4.13,38443303,2.79,2,8.993539985758412
120,38443231,4.13,37222932,2.78,2,3.010799279661734
121,38443231,4.13,38443375,2.76,2,6.231017049075552
122,38443231,4.13,37223228,2.61,4,8.203620344189105
123,38443231,4.13,38443495,2.61,4,1.067262626955778
124,38443231,4.13,37222668,2.57,2,8.42641185121714
125,38443231,4.13,37222876,2.57,1,5.272711609004561
126,38443231,4.13,38443327,2.53,3,6.963205434894931
127,38443231,4.13,38443111,2.49,6,0.7938972425908273
128,38443231,4.13,37223212,2.48,2,4.994310647411025
129,38443231,4.13,37222964,2.44,2,4.629071397395299
130,38443231,4.13,38443399,2.42,1,5.006159384336396
131,38443231,4.13,37222924,2.33,1,7.101721431494013
132,38443231,4.13,37224452,2.31,3,7.2592945419360815
133,38443231,4.13,37224436,2.27,1,5.679621475027774
134,38443231,4.13,37222892,2.24,1,4.551490077672963
135,38443231,4.13,37223332,2.24,1,8.836891850384532
136,38443231,4.13,37223372,2.2,3,6.6910219178512875
137,38443231,4.13,37223956,2.16,2,6.407126714975127
138,38443231,4.13,37224364,2.14,2,1.9335027578061494
139,38443231,4.13,38443127,2.13,5,2.3501740879653097
140,38443231,4.13,37222956,2.13,1,8.253386841056022
141,38443231,4.13,37223708,2.13,2,5.965188193542854
142,38443231,4.13,37224332,2.11,1,2.7741688482513425
143,38443231,4.13,37224292,2.08,1,11.621058301194115
144,38443231,4.13,37223348,2.07,1,5.5436530729892555
145,38443231,4.13,37223636,1.99,1,5.855643905774341
146,38443231,4.13,37223948,1.99,2,5.810190142605149
147,38443231,4.13,37224444,1.95,1,3.7526911304429817
148,38443231,4.13,37223396,1.9,1,4.9717164146438035
149,38443231,4.13,38443135,1.75,1,3.6717379779601886
150,38443231,4.13,38443079,1.5,8,3.5184739442008834
151,38443231,4.13,38443151,1.43,7,3.825947364498621
152,37218996,4.01,37223380,2.89,3,1.0282509345249162
153,37218996,4.01,37222932,2.78,1,2.369067555698764
154,37218996,4.01,37222668,2.57,1,4.554364420739918
155,37218996,4.01,38443111,2.49,4,2.5501468888893126
156,37218996,4.01,37224276,2.16,1,5.977151445765709
157,37218996,4.01,38443127,2.13,5,2.8006217287173962
158,37218996,4.01,37222956,2.13,2,7.527695209150807
159,37218996,4.01,38443079,1.5,5,2.7361982961759947
160,37218996,4.01,38443151,1.43,4,2.8083547312983255
161,38443095,3.98,37223380,2.89,3,9.477691157814894
162,38443095,3.98,37223228,2.61,1,13.036797594648604
163,38443095,3.98,37222668,2.57,1,7.7175181914450155
164,38443095,3.98,38443111,2.49,1,4.40361456035706
165,38443095,3.98,37223956,2.16,3,10.883310611197814
166,38443095,3.98,38443127,2.13,1,3.104924129995732
167,38443095,3.98,37222956,2.13,1,12.890140451991277
168,38443095,3.98,38443135,1.75,1,7.866088886028973
169,38443095,3.98,38443079,1.5,11,9.480570356945472
170,38443095,3.98,38443151,1.43,8,10.324094747525367
171,37222364,3.97,38443311,2.95,6,1.5979078726538907
172,37222364,3.97,38443303,2.79,4,4.000785262500815
173,37222364,3.97,38443495,2.61,9,2.7848416648120753
174,37222364,3.97,37222876,2.57,3,1.900334244256908
175,37222364,3.97,37222924,2.33,4,4.7354032347218995
176,37222364,3.97,37224468,1.96,1,9.702728070151787
177,38443255,3.86,38443303,2.79,1,2.072223839332556
178,38443255,3.86,38443495,2.61,8,2.7483977469512215
179,38443255,3.86,37223148,2.59,1,0.7870309593329553
180,38443255,3.86,37222876,2.57,2,3.986483715058323
181,38443255,3.86,37222964,2.44,3,4.192236242180122
182,38443255,3.86,37223788,2.44,3,7.257276196350081
183,38443255,3.86,37222924,2.33,1,1.0638236448490896
