,masterid,master_magnitude,fc,egf_number
0,38463007,3.49,20.17302582162466,1
1,38465415,3.49,9.572275077671499,2
2,38475511,3.49,13.052766897882742,1
3,38503631,3.49,5.40375007580898,4
4,37221220,3.48,9.97436314569694,1
5,38483591,3.48,11.347989034290253,1
6,38561839,3.48,6.2669707613808425,3
7,38449191,3.47,11.398764318040293,7
8,38461903,3.47,13.562485937910736,2
9,38469775,3.47,16.038024945753833,2
10,38474687,3.47,5.385463153324394,15
11,38501895,3.47,6.605095537321179,3
12,38443415,3.46,15.8637469048559,1
13,38504415,3.46,8.772714088275999,3
14,38458135,3.45,6.71102805800802,4
15,38458391,3.45,4.861471542320708,1
16,38458799,3.45,6.524793459757103,2
17,38467391,3.45,10.299099179502404,3
18,38479903,3.45,2.4833623522622643,1
19,38443431,3.44,5.742405829851445,1
20,38444823,3.44,12.18360345817523,1
21,38445015,3.44,8.753376746327943,1
22,38458223,3.44,10.496906512497034,2
23,38458527,3.44,7.367007175648412,2
24,38460743,3.44,11.313603217787417,3
25,38519951,3.44,13.424928910003285,1
26,37223156,3.42,12.880225174176411,1
27,38453719,3.41,6.8921305077822534,2
28,38457791,3.41,14.952559021318239,1
29,38461391,3.41,6.012196256548428,1
30,38462559,3.41,16.467837880377406,1
31,38446671,3.4,13.239148913108792,2
32,38459215,3.4,3.758213346656315,2
33,38445839,3.39,7.826804466525079,4
34,38457839,3.39,20.627189354587077,1
35,38474959,3.39,14.091418967325122,2
36,38443407,3.38,2.171235055365028,1
37,38443487,3.38,3.1822038662086025,1
38,38480559,3.38,4.954109838768319,2
39,38463831,3.36,9.16353298645423,3
40,38590983,3.36,3.738795310015419,1
41,38444063,3.35,8.22695090357203,1
42,38460415,3.35,11.00879838650513,2
43,38457935,3.34,7.297610050600374,1
44,38458511,3.34,4.28143995865276,1
45,38443319,3.33,3.819897113274042,1
46,38458767,3.33,10.113837714067403,1
47,38458479,3.32,9.45384771132164,2
48,38458943,3.31,9.345655923763141,1
49,38493191,3.31,36.14467034632597,1
50,38589319,3.31,10.719095768167133,1
51,38467359,3.3,6.0316402014585435,2
52,38471103,3.3,5.579520161178902,3
53,38564031,3.3,11.31181530000412,3
54,38470119,3.29,4.503546551431385,11
55,38478423,3.28,13.19412994950355,2
56,38530047,3.28,4.0760841218199335,1
57,38460471,3.27,10.223983599493776,1
58,38466583,3.27,5.989440624930576,1
59,38541391,3.27,13.58350596426063,5
60,38560831,3.27,9.01503369119666,1
61,38446807,3.26,5.909693596377976,1
62,38458127,3.26,2.2122859365808423,1
63,38446639,3.25,4.914793808102201,1
64,38459247,3.24,15.158071813594944,1
65,38469119,3.24,5.726258245932864,3
66,38472895,3.24,5.357812610884911,1
67,38463807,3.23,13.25537673983427,2
68,38467423,3.23,9.924448968991435,3
69,38517847,3.23,32.190197816899904,1
70,38443239,3.22,2.492906421523305,1
71,38443751,3.22,9.84368469469165,1
72,38448487,3.22,17.913894012592287,1
73,38462687,3.22,7.51230373145097,2
74,38463439,3.22,17.076128709516155,2
75,38473983,3.22,8.040200001194707,1
76,38475551,3.22,6.4710136111681775,1
77,38561855,3.22,4.876359608458419,1
78,37421933,3.21,4.095151410109004,1
79,38486063,3.21,8.517418292556256,1
80,37421965,3.2,1.7798862203071881,1
81,38447999,3.2,42.84713940059484,1
82,38460991,3.2,14.453904817731791,5
83,38463375,3.2,3.4004270109919306,1
84,38493743,3.2,13.463635580708559,1
85,38519287,3.2,11.156919648903653,1
86,38450511,3.19,11.369080296676708,3
87,38479143,3.19,4.8959733460970085,3
88,38483383,3.19,8.896596126494973,2
89,38473063,3.18,9.703030526420635,3
90,38463903,3.17,13.050882727934844,1
91,38458407,3.16,5.870517029829073,3
92,38475007,3.15,13.101658802620022,1
93,38492831,3.15,13.695479200761117,2
94,38458831,3.14,7.962329855762292,1
95,38443519,3.13,9.045038625759414,2
96,38468063,3.13,11.064042475542816,1
97,38483215,3.13,7.859386465910667,3
98,38577303,3.13,8.092377222516575,2
99,38460375,3.12,9.078756022613685,1
100,38506343,3.12,6.095656424536516,1
101,38499159,3.11,18.280916862883956,1
102,38584855,3.11,29.082564960925392,1
103,38443631,3.09,14.81075520753868,1
104,38444231,3.09,8.202192656495383,1
105,38459415,3.09,6.754590577773821,3
106,38539215,3.09,6.823881372891782,2
107,38458535,3.08,16.209185580305768,1
108,38460335,3.08,3.303214647960625,3
109,38461295,3.08,16.72330418038288,1
110,38460887,3.07,6.849318474774153,2
111,38473967,3.06,7.965555938013843,2
112,38474119,3.06,13.431703100715097,2
113,38535183,3.06,10.125007470405587,1
114,38459831,3.05,7.139218688563777,1
115,38463567,3.05,4.034391279485944,2
116,38541351,3.05,8.688439708607113,1
117,38558295,3.05,4.286547911793801,3
118,38583551,3.05,8.534891403884,1
119,38458415,3.04,12.23481442517816,1
120,38489847,3.04,9.052386525138783,2
121,38588455,3.04,5.181159180548432,3
122,38458015,3.03,2.7087614187480513,2
123,38460655,3.03,4.6490842053235495,2
124,38461639,3.03,8.058950819995278,1
125,38514151,3.03,5.0953993688571275,3
126,38487519,3.02,15.70161699219668,1
127,38481167,3.01,17.03623108913836,1
128,38468151,3.0,8.67423774832017,1
129,38575455,3.0,6.921314289749011,2
130,38589287,3.0,6.627062297237504,1
