,masterid,mastermag,egfid,egfmag,station_number,fcmaster
0,37223244,3.49,38443679,2.78,6,9.869279152114
1,37223244,3.49,37236244,2.18,1,11.481932356173761
2,37223244,3.49,37230540,2.13,1,15.661172356772687
3,37223244,3.49,37223196,2.11,1,7.208953885309183
4,37224748,3.49,38444719,2.98,14,12.125067340392212
5,37224748,3.49,38476167,2.26,4,11.842807933769736
6,37224748,3.49,38476207,2.2,2,17.838166278374935
7,37224748,3.49,38471119,2.12,6,9.943198908967636
8,37224748,3.49,38464655,2.09,2,8.6215111371864
9,38463007,3.49,38502311,2.48,7,8.491027097413818
10,38463007,3.49,38556119,2.19,7,12.190270354443786
11,38465415,3.49,38462207,2.95,19,8.798676830545698
12,38465415,3.49,38478847,2.28,10,6.619054678664882
13,38475511,3.49,38551111,2.6,7,4.068459946682928
14,38503631,3.49,38481279,2.75,8,3.119886538935221
15,38503631,3.49,38463319,2.4,1,3.9234363434060158
16,38503631,3.49,38481175,2.4,7,5.164497488178261
17,38503631,3.49,38467343,2.32,3,3.670025918433752
18,38503631,3.49,38555399,2.21,3,3.114063748734057
19,38449351,3.48,38445183,2.6,16,17.657882681020254
20,37221220,3.48,38501359,2.11,3,2.6283123163350606
21,37221220,3.48,38467151,2.01,3,4.047758462785705
22,38462839,3.48,38465815,2.97,10,2.6354937844272035
23,38462839,3.48,38467927,2.5,5,2.400235358556148
24,38462839,3.48,38467247,2.31,3,1.5077302339251468
25,38462839,3.48,38466431,2.24,4,3.7539564277039346
26,38462839,3.48,38466391,2.22,4,2.177227114873865
27,38462839,3.48,37421149,2.13,2,5.993409624924039
28,38462839,3.48,38463143,2.04,3,2.4677443278848123
29,38483591,3.48,38483607,2.27,10,16.99417283901521
30,38483591,3.48,38477655,2.2,4,21.494522839766002
31,38483591,3.48,38501831,2.2,8,6.353064708864713
32,38561839,3.48,38540687,2.49,8,5.728989331402004
33,38561839,3.48,38561815,2.29,6,10.18430459315163
34,38561839,3.48,38479871,2.07,3,2.5903552386109716
35,38449191,3.47,38443423,2.69,8,8.611167559159224
36,38449191,3.47,38450631,2.64,23,8.41043438835757
37,38449191,3.47,38444031,2.45,12,7.990053620810544
38,38449191,3.47,38446815,2.44,16,10.053859450297345
39,38449191,3.47,38449431,2.32,11,12.936268971243123
40,38449191,3.47,38451447,2.31,24,8.747383520149116
41,38449191,3.47,38443735,2.27,3,23.090890770084496
42,38449191,3.47,38445303,2.19,10,8.362499884265647
43,38449191,3.47,38446511,2.17,15,6.88771307099889
44,38449191,3.47,38449223,2.05,18,8.736681548727255
45,38457671,3.47,38473759,2.57,3,2.0892878034386517
46,38457671,3.47,38473823,2.13,2,7.824928795189704
47,37220908,3.47,38556119,2.19,1,13.364078620074
48,38461903,3.47,38464023,2.31,5,11.835786773950785
49,38461903,3.47,38491199,2.18,7,25.47238448067972
50,38461903,3.47,38475095,2.1,3,8.62119201800027
51,38469775,3.47,38462255,2.31,1,20.56209089893022
52,38469775,3.47,38511359,2.21,8,11.309832232268118
53,38469775,3.47,38470967,2.1,6,8.667608258239737
54,38469775,3.47,38478231,2.07,6,10.564433695689878
55,38474687,3.47,38472799,2.8,6,3.5502986061566344
56,38474687,3.47,38474535,2.75,5,14.715319592197586
57,38474687,3.47,38475463,2.64,5,4.025865798281531
58,38474687,3.47,38491343,2.62,5,3.397347242856692
59,38474687,3.47,38488519,2.6,7,4.419393010030337
60,38474687,3.47,38470879,2.56,5,2.4495421631574805
61,38474687,3.47,38472631,2.46,7,2.9898294421127636
62,38474687,3.47,38471535,2.44,5,3.0226185845779074
63,38474687,3.47,38492655,2.41,7,3.247585790339872
