,masterid,master_magnitude,fc,egf_number
0,37223244,3.49,9.97187965292044,1
1,38463007,3.49,10.373106205079084,2
2,38465415,3.49,7.693729135886146,2
3,38475511,3.49,4.081029770163922,1
4,38503631,3.49,4.144669307684775,2
5,38449351,3.48,17.508802525608626,1
6,38462839,3.48,2.5114621556482426,2
7,38483591,3.48,11.634780812466339,2
8,38561839,3.48,7.92287072793705,2
9,38449191,3.47,9.157185908474824,7
10,38469775,3.47,10.18299992125801,3
11,38474687,3.47,4.814298665285691,11
12,38501895,3.47,3.6144904248892855,2
13,38443415,3.46,10.377778847642656,1
14,38458687,3.46,8.12816576768084,1
15,38504415,3.46,8.772690083577109,3
16,38458391,3.45,9.541739656967458,1
17,38458799,3.45,5.667798549588999,3
18,38467391,3.45,8.334131313485972,4
19,38479903,3.45,7.966519799308781,2
20,38443431,3.44,17.611484562083344,1
21,38444823,3.44,9.062055108312784,1
22,38445015,3.44,9.436216223514318,3
23,38458223,3.44,5.647094008623608,1
24,38458527,3.44,8.219256987589581,2
25,38460743,3.44,12.471537309796727,2
26,37223156,3.42,7.924479435301371,1
27,38453719,3.41,5.903977544031815,2
28,38457791,3.41,4.282680180511769,2
29,38461391,3.41,4.5814804495649,1
30,38462559,3.41,8.46172379092597,1
31,38465367,3.41,9.246955521075376,1
32,37222556,3.4,3.792754632111829,1
33,38446671,3.4,6.128228783968578,1
34,38445839,3.39,4.297630839492782,4
35,38457839,3.39,3.4495864890376833,1
36,38474959,3.39,11.866972896675476,3
37,38443407,3.38,2.3111315001581905,1
38,38443487,3.38,11.7465645825616,1
39,38480559,3.38,8.52327503961119,3
40,38460727,3.37,15.219475176943554,1
41,38461703,3.36,13.676008672783544,1
42,38463831,3.36,10.406491521931958,4
43,38590983,3.36,4.481644254004892,1
44,38444063,3.35,8.75091555999715,1
45,38450935,3.35,7.98749640187174,1
46,38460415,3.35,3.6532104738787767,2
47,38591663,3.35,10.058664882065514,1
48,37222060,3.34,5.745198591148817,1
49,38458511,3.34,4.321904312184321,2
50,38458767,3.33,6.3498481834456575,2
51,38507623,3.33,6.201198118249346,1
52,38458479,3.32,7.568130404490394,3
53,38465063,3.31,8.491239943481732,1
54,38589319,3.31,14.210623179533155,2
55,38467359,3.3,5.712856570305148,1
56,38471103,3.3,6.7112871667473994,4
57,38564031,3.3,11.321817008640659,3
58,38470119,3.29,4.193725272734699,9
59,38539031,3.29,3.570919066712345,2
60,38478423,3.28,8.109221454808758,1
61,38458199,3.27,16.47626619859365,2
62,38460471,3.27,7.719403926067789,2
63,38466583,3.27,5.0386856381986,1
64,38541391,3.27,8.758314893959785,4
65,38560831,3.27,3.5292116689561657,1
66,38446807,3.26,4.609362117744512,1
67,38458127,3.26,8.047834543394657,1
68,38446639,3.25,7.5109271844891925,1
69,38478823,3.25,6.434190713568356,1
70,38459943,3.24,5.831573893622824,1
71,38469119,3.24,3.5754794843787563,2
72,38472895,3.24,3.78918224044301,1
73,38445295,3.23,19.19081630637283,1
74,38448631,3.23,3.2938827231325254,2
75,37224788,3.23,2.99950176405485,1
76,38460279,3.23,11.831192890895371,1
77,38463807,3.23,7.078015295955379,3
78,38467423,3.23,7.16433136419655,3
79,38443239,3.22,5.527585545528978,1
80,38448487,3.22,9.281992328034303,1
81,38461159,3.22,8.048004722647239,1
82,38463439,3.22,5.7997928074565035,4
83,38561855,3.22,10.605341449466689,1
84,38486063,3.21,6.812018565259916,1
85,37421965,3.2,2.2643357529361614,1
86,38460991,3.2,10.387388431057856,4
87,38450511,3.19,9.860712109669333,1
88,38465087,3.19,7.133901313007827,2
89,38479143,3.19,6.218414460456227,3
90,38483383,3.19,6.190111497353116,1
91,38553919,3.19,12.857889302656174,1
92,38473063,3.18,3.4129574906425972,2
93,38463903,3.17,8.331310803159877,1
94,38444791,3.15,9.660623561072278,1
95,38457975,3.15,2.797424334617383,2
96,38492831,3.15,6.054339693840221,2
97,38443519,3.13,8.14961415536562,3
98,38468063,3.13,5.918037715234191,1
99,38483215,3.13,5.51274780832536,2
100,38577303,3.13,7.6186611787717196,2
101,38460375,3.12,3.1019869118458545,1
102,38506343,3.12,4.43640529184991,1
103,38446343,3.11,7.203249723973779,1
104,38443631,3.09,6.400631125805758,1
105,38444231,3.09,6.348724524158415,2
106,38459415,3.09,4.587078920491522,1
107,38539215,3.09,3.349203494156722,1
108,38580911,3.08,4.550001548996929,1
109,38460887,3.07,2.731218808218733,2
110,38473967,3.06,5.719548640280375,1
111,38535183,3.06,5.592306290931345,1
112,38463567,3.05,12.632896720861314,1
113,38541351,3.05,5.843216227988605,1
114,38558295,3.05,3.8070174677070407,1
115,38583551,3.05,5.66913144369889,3
116,38445503,3.04,12.488793818863234,2
117,38458415,3.04,6.9215767172912415,1
118,38489847,3.04,5.237799487479129,3
119,38588455,3.04,5.856029124462465,2
120,38443711,3.03,3.8703551792720376,1
121,38461639,3.03,6.204908611441903,1
122,38514151,3.03,4.133807631068676,2
123,38481167,3.01,13.173116613927553,1
124,38468151,3.0,5.048645910785624,1
125,38575455,3.0,5.114417882634642,2
